1459728005.966	  50.10493	45	3
1459728006.965	  50.05527	50	3
1459728007.964	  50.05539	47	3
1459728008.964	  50.02165	44	3
1459728009.963	  50.03254	45	3
1459728010.962	  50.03482	51	3
1459728011.961	  50.06488	50	3
1459728012.960	  50.03567	45	3
1459728013.960	  50.03038	47	3
1459728014.960	  50.03150	47	3
1459728015.958	  50.03316	53	3
1459728016.957	  50.05311	46	3
1459728017.956	  50.02143	44	3
1459728018.956	  50.02841	47	3
1459728019.955	  50.06325	46	3
1459728020.954	  50.05840	41	3
1459728021.953	  50.04778	48	3
1459728022.952	  50.04653	48	3
1459728023.951	  50.02997	51	3
1459728024.950	  50.02910	50	3
1459728025.950	  50.02469	42	3
1459728026.950	  50.01277	45	3
1459728027.949	  50.01443	54	3
1459728028.949	  50.02653	47	3
1459728029.949	  50.01486	46	3
1459728030.949	  50.01684	46	3
1459728031.948	  50.01549	45	3
1459728032.948	  49.99643	40	3
1459728033.949	  49.99231	43	3
1459728034.951	  49.90963	40	3
1459728035.953	  49.88143	41	3
1459728036.955	  49.89615	45	3
1459728037.956	  49.90191	43	3
1459728038.958	  49.92776	41	3
1459728039.959	  49.92293	47	3
1459728040.961	  49.92265	45	3
1459728041.962	  49.92262	50	3
1459728042.963	  49.95469	37	3
1459728043.964	  49.95391	56	3
1459728044.965	  49.93287	41	3
1459728045.966	  49.99250	38	3
1459728046.966	  50.02134	46	3
1459728047.966	  50.02165	40	3
1459728048.967	  49.88800	32	3
1459728049.969	  49.84520	48	3
1459728050.973	  49.84989	49	3
1459728051.975	  49.84864	46	3
1459728052.978	  49.85110	51	3
1459728053.981	  49.84790	46	3
1459728054.984	  49.87873	45	3
1459728055.986	  49.88128	46	3
1459728056.988	  49.89668	47	3
1459728057.990	  49.90004	50	3
1459728058.993	  49.84162	41	3
1459728059.996	  49.84110	46	3
1459728060.999	  49.84787	51	3
1459728062.001	  49.88252	44	3
1459728063.003	  49.90938	49	3
1459728064.005	  49.95588	36	3
1459728065.006	  49.97735	48	3
1459728066.005	  50.02184	42	3
1459728067.004	  50.02644	55	3
1459728068.004	  50.02225	52	3
1459728069.004	  49.99078	49	3
1459728070.004	  49.99181	43	3
1459728071.004	  49.99250	46	3
1459728072.003	  50.00927	41	3
1459728073.003	  50.03123	45	3
1459728074.002	  50.07012	49	3
1459728075.001	  50.07247	46	3
1459728075.998	  50.13598	35	3
1459728076.996	  50.13582	50	3
1459728077.992	  50.13636	47	3
1459728078.990	  50.13400	47	3
1459728079.987	  50.13218	43	3
1459728080.984	  50.12935	50	3
1459728081.982	  50.11695	52	3
1459728082.980	  50.10467	50	3
1459728083.978	  50.10587	55	3
1459728084.976	  50.11425	41	3
1459728085.974	  50.09893	47	3
1459728086.972	  50.09737	44	3
1459728087.970	  50.09871	46	3
1459728088.967	  50.14060	39	3
1459728089.964	  50.10976	42	3
1459728090.962	  50.10810	46	3
1459728091.961	  50.04503	34	3
1459728092.961	  49.96200	32	3
1459728093.962	  49.92950	45	3
1459728094.964	  49.93268	39	3
1459728095.964	  49.98928	39	3
1459728096.964	  50.02791	42	3
1459728097.963	  50.02572	51	3
1459728098.963	  50.03370	54	3
1459728099.962	  50.03482	54	3
1459728100.962	  50.03805	42	3
1459728101.961	  50.01627	48	3
1459728102.961	  50.00167	52	3
1459728103.961	  49.99740	45	3
1459728104.962	  49.96121	43	3
1459728105.963	  49.87680	27	3
1459728106.967	  49.82387	44	3
1459728107.970	  49.82195	44	3
1459728108.974	  49.84898	48	3
1459728109.976	  49.85277	44	3
1459728110.979	  49.87752	58	3
1459728111.981	  49.88479	56	3
1459728112.983	  49.93091	39	3
1459728113.984	  49.94387	49	3
1459728114.985	  49.95791	43	3
1459728115.985	  49.95859	45	3
1459728116.987	  49.96012	32	3
